,M,R,p_c,a
7128,4.284352858769953,13.69619206698587,4.069962789417623,50.8
7129,4.307445697027496,13.662883135411851,4.189530571887016,50.8
7130,4.330055151788296,13.628947629496851,4.312611028880567,50.8
7131,4.352180816921027,13.5943984253215,4.439307356109173,50.8
7132,4.3738221560892,13.559248676606463,4.5697257809778655,50.8
7133,4.3949797121634795,13.523511683063148,4.703975651651239,50.8
7134,4.4156657745396,13.48719844767462,4.8421695287354165,50.8
7135,4.43587327754484,13.450325047405752,4.98442327965352,50.8
7136,4.455588348686392,13.412909533662743,5.130856175793655,50.8
7137,4.4747975819380255,13.37496963321526,5.2815909925109406,50.8
7138,4.49348990206707,13.336522579819873,5.436754112067429,50.8
7139,4.511668313666881,13.29758251592527,5.596475629596163,50.8
7140,4.5293529480802635,13.258160724901424,5.760889462178295,50.8
7141,4.546544650706825,13.218272485689576,5.930133461124668,50.8
7142,4.563243805796185,13.177934428521773,6.104349527556,50.8
7143,4.579451624392818,13.137162406684975,6.283683731378636,50.8
7144,4.595170204053256,13.095972161114709,6.468286433755544,50.8
7145,4.610402137200515,13.054379914721318,6.658312413175293,50.8
7146,4.6251497509638675,13.012401579041468,6.853920995224694,50.8
7147,4.639415370902399,12.970054223022748,7.055276186173923,50.8
7148,4.653213677691354,12.927321601981967,7.262546810486105,50.8
7149,4.666569074641528,12.884158911031456,7.475906652366686,50.8
7150,4.679488402994817,12.84057901504322,7.695534601471251,50.8
7151,4.691976694845245,12.79659692689082,7.921614802893947,50.8
7152,4.704038925944784,12.752229189889448,8.15433681156231,50.8
7153,4.715680445439827,12.707492029149439,8.39389575116789,50.8
7154,4.726906722040257,12.662401507233533,8.64049247776598,50.8
7155,4.737723112415232,12.616973844857013,8.894333748181571,50.8
7156,4.748135143057807,12.571225495070491,9.155632393362785,50.8
7157,4.758148560602281,12.525171839360231,9.424607496827054,50.8
7158,4.76776911465046,12.478827946434413,9.701484578349785,50.8
7159,4.77700261998308,12.432208456753097,9.986495783049346,50.8
7160,4.7858548438416015,12.385328155914063,10.27988007602712,50.8
7161,4.79433181758707,12.338200034567857,10.581883442725658,50.8
7162,4.802439427587636,12.290837477641483,10.89275909517292,50.8
7163,4.810184305559049,12.243252196053524,11.212767684285732,50.8
7164,4.81757591888794,12.195455634957343,11.542177518410133,50.8
7165,4.824619965796183,12.147458066517244,11.881264788282161,50.8
7166,4.831320528001894,12.099270300963775,12.230313798597535,50.8
7167,4.837681998152611,12.050902656154411,12.589617206384313,50.8
7168,4.843709301812504,12.002363328719971,12.959476266378648,50.8
7169,4.849407520710095,11.953660724495608,13.34020108360906,50.8
7170,4.854782263916162,11.904800736368264,13.73211087340132,50.8
7171,4.859846659716875,11.855718347004748,14.135534229021584,50.8
7172,4.864612217597632,11.806378259777304,14.550809397182556,50.8
7173,4.869089028451886,11.756782589597963,14.97828456164344,50.8
7174,4.8732832872675775,11.70693560569832,15.418318135141416,50.8
7175,4.877200880086922,11.656842079775604,15.871279059899733,50.8
7176,4.880847979803369,11.606506822442842,16.337547116963872,50.8
7177,4.884230939826095,11.555935653676212,16.817513244625736,50.8
7178,4.887356376306545,11.505133064029648,17.311579866202212,50.8
7179,4.890230974789816,11.45410521947964,17.82016122744356,50.8
7180,4.892861141341381,11.402856564381189,18.343683743853944,50.8
7181,4.895251642897377,11.35139411785128,18.882586358215757,50.8
7182,4.8974092743528015,11.299722544373331,19.437320908617327,50.8
7183,4.899340976143876,11.247847371306964,20.008352507292432,50.8
7184,4.901053418843439,11.195773984204587,20.596159930589604,50.8
7185,4.9025532723565135,11.143507737869156,21.20123602039777,50.8
7186,4.903847199604936,11.091053974990203,21.82408809736528,50.8
7187,4.904941569371583,11.038418120279708,22.465238386258218,50.8
7188,4.905842807898408,10.985605589367548,23.125224453815267,50.8
7189,4.906557468682656,10.932621692036385,23.804599659465588,50.8
7190,4.90709225788164,10.879471853158623,24.50393361928816,50.8
7191,4.907453656115528,10.826161283052151,25.223812683601377,50.8
7192,4.907648225621448,10.772635124344903,25.964840428583074,50.8
7193,4.907681788408126,10.718831719993796,26.72763816233376,50.8
7194,4.907559646525275,10.664740386921224,27.512845445806697,50.8
7195,4.907286973795648,10.61035250551159,28.32112062904223,50.8
7196,4.906869115873668,10.555658652565253,29.153141403155324,50.8
7197,4.906311274178116,10.500651641678227,30.009605368539837,50.8
7198,4.90561870150658,10.445324720071271,30.89123061976515,50.8
7199,4.904796624445716,10.389672570214284,31.798756347656244,50.8
7200,0.5645299757891655,14.096801106106199,0.1,52.4
7201,0.5781028533879303,14.076051706239292,0.1029352338205138,52.4
7202,0.5919340471905309,14.05735279616614,0.10595662361683852,52.4
7203,0.6060710738469525,14.040371487045787,0.10906669826831449,52.4
7204,0.6204759928243534,14.025146936064072,0.1122680608828038,52.4
7205,0.6351625197351384,14.011648090231132,0.11556339097547089,52.4
7206,0.650144231387905,13.99981638918592,0.11895544671151552,52.4
7207,0.6653965352713019,13.989808009266415,0.1224470672147352,52.4
7208,0.6809887739448264,13.981596122637455,0.1260411749438494,52.4
7209,0.6969460328508392,13.975064797665192,0.12974077813857426,52.4
7210,0.7132416503416463,13.970130256763923,0.13354897333749546,52.4
7211,0.7299025272161315,13.966530544362731,0.13746894796984663,52.4
7212,0.7469443690488871,13.96410265199696,0.1415039830233621,52.4
7213,0.7643254288040929,13.962767992143712,0.14565745579043793,52.4
7214,0.7820747779684845,13.962405025490643,0.1499328426948988,52.4
7215,0.8002198687606165,13.962817561133951,0.15433372220173727,52.4
7216,0.8187133494009744,13.96415939672026,0.1588637778122605,52.4
7217,0.8375867747588452,13.966253308586863,0.1635268011471519,52.4
7218,0.8568183741547518,13.969140498246876,0.16832669512002743,52.4
7219,0.8764680924056849,13.972681783242091,0.17326747720414368,52.4
7220,0.8964401841103908,13.97709629024868,0.17835328279499077,52.4
7221,0.9168185890687902,13.982127491388788,0.183588368671586,52.4
7222,0.9375409869503072,13.987938697171463,0.188977116559364,52.4
7223,0.958692602303912,13.994337604881427,0.1945240367976462,52.4
7224,0.9801635766232861,14.001484968165151,0.20023377211475943,52.4
7225,1.0020102173150103,14.009233115104095,0.20611110151396245,52.4
7226,1.0242482330818143,14.017499121155764,0.21216094427343385,52.4
7227,1.0468155814617215,14.026390868872012,0.21838836406366913,52.4
7228,1.0698028792816463,14.035618460242928,0.2247985731857328,52.4
7229,1.0930615433745696,14.045471651586524,0.2313969369339129,52.4
7230,1.1167170375964728,14.055630332393465,0.2381889780864301,52.4
7231,1.1407476682832562,14.06612391724188,0.2451803815279593,52.4
7232,1.1651372639187307,14.077108852978938,0.2523769990078327,52.4
7233,1.1900239093421054,14.088292656094572,0.25978485403790846,52.4
7234,1.2152965375828113,14.09985967480804,0.2674101469342016,52.4
7235,1.2409378298227143,14.111814721079451,0.2752592600064999,52.4
7236,1.267101404676111,14.123864414543164,0.2833387629003068,52.4
7237,1.2936592231570552,14.136206489649238,0.29165541809558204,52.4
7238,1.3205935754540703,14.148829418771047,0.30021618656688454,52.4
7239,1.3480115324873416,14.161505954949012,0.30902823360965254,52.4
7240,1.3758175937226305,14.174374729052904,0.3180989348374995,52.4
7241,1.4039457081752111,14.187486785296116,0.327435882355544,52.4
7242,1.4325704371257328,14.200561139811748,0.33704689111494174,52.4
7243,1.4616339558623517,14.21365957214292,0.3469400054539379,52.4
7244,1.4910023102189278,14.226919767225612,0.35712350583091435,52.4
7245,1.5207507382755394,14.240192609263456,0.367605915755068,52.4
7246,1.5509668539088475,14.253336721405708,0.37839600892052017,52.4
7247,1.5815053531795364,14.266504880898651,0.38950281654982977,52.4
7248,1.6123087865200563,14.279717842957428,0.40093563495305434,52.4
7249,1.6435379232854315,14.29275830866464,0.4127040333086881,52.4
7250,1.675201647630315,14.305589732954097,0.4248178616729893,52.4
7251,1.7071362992128283,14.318357387771679,0.4372872592243985,52.4
7252,1.7392967945013231,14.33105422307184,0.4501226627499509,52.4
7253,1.7718061603231523,14.343515477793872,0.46333481538078486,52.4
7254,1.8047082338942733,14.355673798428068,0.4769347755840569,52.4
7255,1.837866055635384,14.367653128031092,0.4909339264187917,52.4
7256,1.8712617210718991,14.379516075008356,0.5053439850634125,52.4
7257,1.9050453012658024,14.391112321369343,0.520177012622926,52.4
7258,1.9392655688697684,14.4023387823869,0.5354454242239727,52.4
7259,1.973912888400092,14.413249500533231,0.5511619994061884,52.4
7260,2.0087651055213662,14.423939283290203,0.5673398928185789,52.4
7261,2.043843955714977,14.43436289157136,0.5839926452298566,52.4
7262,2.0792619286590073,14.444408354066452,0.6011341948619566,52.4
7263,2.1150647573752286,14.454016051182347,0.6187788890562184,52.4
7264,2.1511881659113388,14.463213676563024,0.636941496281996,52.4
7265,2.1874663896931463,14.472090147533857,0.6556372184977519,52.4
7266,2.223924106707696,14.480592511053619,0.6748817038749739,52.4
7267,2.260650979043452,14.488630765535726,0.694691059895572,52.4
7268,2.2976376193341617,14.496187449194192,0.7150818668337128,52.4
7269,2.33492631532766,14.503211500804223,0.7360711916333774,52.4
7270,2.372400959057696,14.509754316957467,0.7576766021932595,52.4
7271,2.409893213573429,14.515880834626438,0.7799161820709558,52.4
7272,2.44750850581797,14.521501324441331,0.8028085456187626,52.4
7273,2.4852718478145377,14.526577403341307,0.8263728535637396,52.4
7274,2.5231640836565927,14.531095682600911,0.8506288290450875,52.4
7275,2.5612179627222926,14.53501368316215,0.8755967741222596,52.4
7276,2.5993793088717427,14.538340015333544,0.901297586767624,52.4
7277,2.6375152888121045,14.541121630468508,0.9277527783579023,52.4
